Frequency,Amplitude
164.73248573570513,99
157.68737228168214,32
153.11405057282434,5
159.40954965205478,19
169.28586311350037,237
179.40379679096603,115
161.00523269925307,45
151.81743678988246,21
152.63662089766927,24
165.3785819883693,119
187.53562037723577,116
163.2311338180757,27
150.2375138916763,4
150.01119583898273,3
152.09670488694744,13
167.78335686048013,185
194.50783505679544,85
161.64692675343966,43
151.14638710994643,18
150.2505740954066,22
150.66817760200837,63
154.52743435834765,180
153.39070153262426,69
151.65953719828948,15
150.02467214965188,3
150.06361309036285,8
150.1373432760804,81
152.5819144919955,159
150.74917874154215,53
150.4463106763326,14
151.43418209528545,25
161.9873346985411,42
177.91652537430218,199
188.75806961768427,105
150.24901725456246,26
150.51831572729077,0
150.52703850018102,4
167.91095202205497,41
187.7723337709983,244
183.47788400884662,90
159.90853333841116,27
151.33176325600647,21
159.1472841707771,34
157.26497951414606,174
175.85203114129374,117
165.3007190074061,29
151.04518862235304,1
150.3221986730255,1
159.57434527761566,29
158.5358571547417,255
179.8159193514386,100
165.72396202463102,38
151.78130222962346,19
152.18596348463393,21
165.08686463736416,116
186.81315741444325,115
163.312050259534,27
150.36817075899842,6
150.0,4
152.51811682821426,22
162.23325574632537,231
176.4778235060985,109
154.76404395240772,37
150.35332599293116,16
150.3828722225026,6
150.02120897692947,20
